StudentID,Age,Monthly_Allowance,Department,Hostel_Status,Study_Hours
GLA0101,,3925.6588559694787,Computer Science,Day Scholar,23.4
GLA0102,19.0,,Computer Science,Day Scholar,19.4
GLA0103,19.0,,Civil,Day Scholar,39.4
GLA0104,19.0,3273.726821876563,Electrical,Hosteller,8.9
GLA0105,20.0,3333.731328084227,Electrical,,18.9
GLA0106,,4043.6123446138477,Biotech,Day Scholar,38.9
GLA0107,23.0,4884.8816887500525,Computer Science,Day Scholar,35.3
GLA0108,,12170.671026099979,,Hosteller,33.6
GLA0109,20.0,3178.873357691069,Computer Science,Day Scholar,14.0
GLA0110,20.0,2170.0591423179367,Electrical,Day Scholar,11.0
GLA0111,17.0,5756.961939198059,Computer Science,Hosteller,28.4
GLA0112,20.0,1947.554396308412,Computer Science,,37.5
GLA0113,20.0,2733.950293819904,Computer Science,Day Scholar,24.5
GLA0114,24.0,1245.1155057510098,Mechanical,Hosteller,25.0
GLA0115,20.0,,Mechanical,,
GLA0116,20.0,10862.139769805806,Electrical,Hosteller,
GLA0117,20.0,6423.302926345188,Biotech,Day Scholar,11.5
GLA0118,18.0,4571.928198398025,Computer Science,Hosteller,16.3
GLA0119,22.0,2577.5789333954253,Computer Science,,19.9
GLA0120,21.0,,Civil,Hosteller,
GLA0121,21.0,,Computer Science,Hosteller,13.5
GLA0122,19.0,1864.0179673797506,Biotech,,9.0
GLA0123,22.0,3390.3719449399437,Computer Science,Hosteller,26.4
GLA0124,,4761.547863330327,Biotech,Day Scholar,15.1
GLA0125,21.0,,Computer Science,Day Scholar,25.3
GLA0126,23.0,1985.236784166988,,Hosteller,10.4
GLA0127,19.0,10294.31049566892,Electrical,Hosteller,21.8
GLA0128,19.0,5017.052214625679,Biotech,Hosteller,23.6
GLA0129,20.0,3424.691445793994,Computer Science,Day Scholar,6.8
GLA0130,19.0,3838.091416112305,Electrical,Day Scholar,16.8
GLA0131,18.0,2632.113596596154,Biotech,Day Scholar,9.7
GLA0132,20.0,1853.9838768221905,,,7.2
GLA0133,18.0,2320.042387969337,Mechanical,Day Scholar,39.6
GLA0134,21.0,5254.545543270139,Mechanical,Day Scholar,16.3
GLA0135,19.0,1043.494239162413,Electrical,Day Scholar,33.3
GLA0136,22.0,,Mechanical,,13.9
GLA0137,19.0,1141.2831308575617,Electrical,Day Scholar,28.9
GLA0138,20.0,1124.7443557518773,Biotech,Hosteller,
GLA0139,,,Computer Science,Hosteller,25.8
GLA0140,,4648.721835102066,Computer Science,Hosteller,21.5
GLA0141,20.0,2928.3537832386774,,Hosteller,
GLA0142,22.0,1308.8707553434397,,Day Scholar,
GLA0143,18.0,3029.5538973916996,Electrical,Day Scholar,37.5
GLA0144,20.0,2924.3509962831135,Mechanical,Hosteller,34.1
GLA0145,20.0,1570.5841384006749,Computer Science,Day Scholar,38.8
GLA0146,21.0,2706.6973939069712,Computer Science,Hosteller,9.4
GLA0147,18.0,2525.009843749621,,Day Scholar,30.6
GLA0148,18.0,3870.1672987394036,Computer Science,Hosteller,37.8
GLA0149,21.0,4024.343608122736,Electrical,Day Scholar,11.3
GLA0150,20.0,1139.0869720616042,Computer Science,Day Scholar,
